item_name,action,quantity,timestamp
Item D,updated,9,2024-06-10 11:34:38
Item B,updated,54,2024-06-10 11:34:38
Item E,updated,56,2024-06-10 11:34:38
Item A,updated,73,2024-06-10 11:34:38
Item A,added,42,2024-06-10 11:34:38
Item A,updated,40,2024-06-10 11:34:38
Item C,removed,36,2024-06-10 11:34:38
Item C,removed,90,2024-06-10 11:34:38
Item E,updated,6,2024-06-10 11:34:38
Item A,updated,67,2024-06-10 11:34:38
Item C,removed,72,2024-06-10 11:34:38
Item C,updated,67,2024-06-10 11:34:38
Item C,added,44,2024-06-10 11:34:38
Item C,updated,23,2024-06-10 11:34:38
Item C,removed,31,2024-06-10 11:34:38
Item C,removed,65,2024-06-10 11:34:38
Item C,added,37,2024-06-10 11:34:38
Item E,added,78,2024-06-10 11:34:38
Item E,updated,53,2024-06-10 11:34:38
Item E,removed,71,2024-06-10 11:34:38
Item B,updated,93,2024-06-10 11:34:38
Item E,removed,72,2024-06-10 11:34:38
Item D,added,80,2024-06-10 11:34:38
Item B,added,22,2024-06-10 11:34:38
Item B,added,72,2024-06-10 11:34:38
Item A,removed,91,2024-06-10 11:34:38
Item B,removed,15,2024-06-10 11:34:38
Item C,updated,53,2024-06-10 11:34:38
Item D,added,29,2024-06-10 11:34:38
Item A,added,40,2024-06-10 11:34:38
Item D,updated,36,2024-06-10 11:34:38
Item B,updated,81,2024-06-10 11:34:38
Item E,updated,4,2024-06-10 11:34:38
Item B,removed,4,2024-06-10 11:34:38
Item B,updated,25,2024-06-10 11:34:38
Item A,updated,72,2024-06-10 11:34:38
Item E,added,52,2024-06-10 11:34:38
Item E,added,85,2024-06-10 11:34:38
Item B,added,36,2024-06-10 11:34:38
Item E,added,20,2024-06-10 11:34:38
Item A,removed,22,2024-06-10 11:34:38
Item B,removed,37,2024-06-10 11:34:38
Item D,updated,1,2024-06-10 11:34:38
Item E,removed,66,2024-06-10 11:34:38
Item E,removed,80,2024-06-10 11:34:38
Item E,removed,80,2024-06-10 11:34:38
Item D,updated,7,2024-06-10 11:34:38
Item E,removed,83,2024-06-10 11:34:38
Item A,updated,25,2024-06-10 11:34:38
Item C,added,22,2024-06-10 11:34:38
Item A,added,93,2024-06-10 11:34:38
Item D,updated,36,2024-06-10 11:34:38
Item B,updated,71,2024-06-10 11:34:38
Item D,removed,55,2024-06-10 11:34:38
Item C,added,2,2024-06-10 11:34:38
Item D,added,12,2024-06-10 11:34:38
Item B,removed,62,2024-06-10 11:34:38
Item D,removed,75,2024-06-10 11:34:38
Item E,updated,14,2024-06-10 11:34:38
Item A,removed,53,2024-06-10 11:34:38
Item B,removed,4,2024-06-10 11:34:38
Item A,added,58,2024-06-10 11:34:38
Item D,added,56,2024-06-10 11:34:38
Item B,removed,5,2024-06-10 11:34:38
Item B,added,5,2024-06-10 11:34:38
Item C,removed,92,2024-06-10 11:34:38
Item D,updated,65,2024-06-10 11:34:38
Item A,added,46,2024-06-10 11:34:38
Item D,updated,50,2024-06-10 11:34:38
Item E,added,32,2024-06-10 11:34:38
Item E,updated,11,2024-06-10 11:34:38
Item D,updated,50,2024-06-10 11:34:38
Item A,updated,19,2024-06-10 11:34:38
Item E,added,13,2024-06-10 11:34:38
Item E,updated,80,2024-06-10 11:34:38
Item C,added,7,2024-06-10 11:34:38
Item E,added,4,2024-06-10 11:34:38
Item C,updated,7,2024-06-10 11:34:38
Item D,removed,26,2024-06-10 11:34:38
Item E,removed,78,2024-06-10 11:34:38
Item A,updated,92,2024-06-10 11:34:38
Item D,added,16,2024-06-10 11:34:38
Item D,updated,16,2024-06-10 11:34:38
Item C,added,74,2024-06-10 11:34:38
Item A,removed,94,2024-06-10 11:34:38
Item B,updated,97,2024-06-10 11:34:38
Item E,updated,59,2024-06-10 11:34:38
Item C,added,77,2024-06-10 11:34:38
Item B,added,45,2024-06-10 11:34:38
Item A,updated,62,2024-06-10 11:34:38
Item C,added,24,2024-06-10 11:34:38
Item C,added,43,2024-06-10 11:34:38
Item C,removed,8,2024-06-10 11:34:38
Item D,updated,96,2024-06-10 11:34:38
Item B,removed,64,2024-06-10 11:34:38
Item E,updated,17,2024-06-10 11:34:38
Item E,removed,91,2024-06-10 11:34:38
Item D,removed,94,2024-06-10 11:34:38
Item C,removed,91,2024-06-10 11:34:38
Item B,updated,96,2024-06-10 11:34:38
